pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
HD 129445,b,HD 129445 b,,4.6,,0.756,4.651230405
HD 130322,b,HD 130322 b,5387,5,,0.796,5.511365979
HD 131496,b,HD 131496 b,4846,5,,1.04,2.191544348
HD 131664,b,HD 131664 b,5892,4.3,,0.69,4.511132165
HD 13167,b,HD 13167 b,5671,4.3,,0.675,2.465777532
HD 13189,b,HD 13189 b,4175,5.2,,1.483,-0.959209548
HD 132406,b,HD 132406 b,5783,4,,0.631,4.212850201
HD 132563,b,HD 132563 b,6073,3.8,,0.541,3.81235527
HD 133131 A,b,HD 133131 A b,5799,4.2,,0.589,5.03951071
HD 133131 A,c,HD 133131 A c,5799,4.2,,0.589,5.03951071
HD 133131 B,b,HD 133131 B b,5805,4.2,,0.618,5.05951071
HD 134060,b,HD 134060 b,5966,4.3,0.158,0.62,4.37092317
HD 134060,c,HD 134060 c,5966,4.3,0.158,0.62,4.37092317
HD 134987,b,HD 134987 b,5736,4.5,,0.7,4.718235128
HD 134987,c,HD 134987 c,5736,4.5,,0.7,4.718235128
